b'04590',b'000101',3.75
b'04591',b'000078',3.75
b'04592',b'000091',3.75
b'04593',b'000111',3.75
b'04594',b'000101',3.75
b'04595',b'000094',3.75
b'04596',b'000091',3.75
b'04597',b'000085',3.75
b'04598',b'000075',3.75
b'04599',b'000085',3.75
b'04607',b'000073',4.0
b'04608',b'000084',4.0
b'04609',b'000080',4.0
b'04610',b'000086',4.0
b'04611',b'000080',4.0
b'04612',b'000077',4.0
b'04613',b'000079',4.0
b'04614',b'000079',4.0
b'04615',b'000060',4.0
b'04616',b'000073',4.0
b'04622',b'000069',4.25
b'04623',b'000060',4.25
b'04624',b'000079',4.25
b'04625',b'000077',4.25
b'04626',b'000075',4.25
b'04627',b'000068',4.25
b'04628',b'000080',4.25
b'04629',b'000066',4.25
b'04630',b'000063',4.25
b'04631',b'000067',4.25
b'04638',b'000072',4.5
b'04639',b'000060',4.5
b'04640',b'000063',4.5
b'04641',b'000067',4.5
b'04642',b'000075',4.5
b'04643',b'000071',4.5
b'04644',b'000060',4.5
b'04645',b'000065',4.5
b'04646',b'000059',4.5
b'04647',b'000069',4.5
b'04653',b'000050',4.75
b'04654',b'000074',4.75
b'04655',b'000053',4.75
b'04656',b'000046',4.75
b'04657',b'000046',4.75
b'04658',b'000057',4.75
b'04659',b'000041',4.75
b'04660',b'000042',4.75
b'04661',b'000058',4.75
b'04662',b'000056',4.75
b'04672',b'000048',5.0
b'04673',b'000040',5.0
b'04674',b'000046',5.0
b'04675',b'000037',5.0
b'04676',b'000054',5.0
b'04677',b'000046',5.0
b'04678',b'000053',5.0
b'04679',b'000043',5.0
b'04680',b'000044',5.0
b'04681',b'000049',5.0
b'04686',b'000034',5.25
b'04687',b'000035',5.25
b'04688',b'000034',5.25
b'04689',b'000048',5.25
b'04690',b'000042',5.25
b'04691',b'000038',5.25
b'04692',b'000042',5.25
b'04693',b'000056',5.25
b'04694',b'000040',5.25
b'04695',b'000042',5.25
b'04700',b'000049',5.5
b'04701',b'000039',5.5
b'04702',b'000040',5.5
b'04703',b'000045',5.5
b'04704',b'000041',5.5
b'04705',b'000025',5.5
b'04706',b'000039',5.5
b'04707',b'000062',5.5
b'04708',b'000035',5.5
b'04709',b'000042',5.5
b'04718',b'000026',5.75
b'04719',b'000026',5.75
b'04720',b'000029',5.75
b'04721',b'000032',5.75
b'04722',b'000030',5.75
b'04723',b'000028',5.75
b'04724',b'000029',5.75
b'04725',b'000023',5.75
b'04726',b'000029',5.75
b'04727',b'000044',5.75
b'04735',b'000031',6.0
b'04736',b'000032',6.0
b'04737',b'000030',6.0
b'04738',b'000023',6.0
b'04739',b'000027',6.0
b'04740',b'000040',6.0
b'04741',b'000029',6.0
b'04742',b'000034',6.0
b'04743',b'000036',6.0
b'04744',b'000031',6.0
b'04752',b'000021',6.25
b'04753',b'000025',6.25
b'04754',b'000033',6.25
b'04755',b'000033',6.25
b'04756',b'000035',6.25
b'04757',b'000035',6.25
b'04758',b'000028',6.25
b'04759',b'000034',6.25
b'04760',b'000027',6.25
b'04761',b'000029',6.25
b'04769',b'000021',6.5
b'04770',b'000037',6.5
b'04771',b'000033',6.5
b'04772',b'000031',6.5
b'04773',b'000030',6.5
b'04774',b'000034',6.5
b'04775',b'000045',6.5
b'04776',b'000021',6.5
b'04777',b'000033',6.5
b'04778',b'000031',6.5
b'04784',b'000041',6.75
b'04785',b'000030',6.75
b'04786',b'000029',6.75
b'04787',b'000036',6.75
b'04788',b'000030',6.75
b'04789',b'000029',6.75
b'04790',b'000043',6.75
b'04791',b'000027',6.75
b'04792',b'000029',6.75
b'04793',b'000031',6.75
b'04802',b'000039',7.0
b'04803',b'000029',7.0
b'04804',b'000036',7.0
b'04805',b'000028',7.0
b'04806',b'000025',7.0
b'04807',b'000034',7.0
b'04808',b'000031',7.0
b'04809',b'000031',7.0
b'04810',b'000031',7.0
b'04811',b'000038',7.0
b'04827',b'000038',7.25
b'04828',b'000038',7.25
b'04829',b'000044',7.25
b'04830',b'000040',7.25
b'04831',b'000043',7.25
b'04832',b'000036',7.25
b'04833',b'000028',7.25
b'04834',b'000036',7.25
b'04835',b'000033',7.25
b'04836',b'000030',7.25
