b'04088',b'000029',1.0
b'04089',b'000029',1.0
b'04090',b'000031',1.0
b'04091',b'000052',1.0
b'04092',b'000027',1.0
b'04093',b'000036',1.0
b'04094',b'000025',1.0
b'04095',b'000029',1.0
b'04096',b'000041',1.0
b'04097',b'000028',1.0
b'04104',b'000034',1.25
b'04105',b'000021',1.25
b'04106',b'000038',1.25
b'04107',b'000038',1.25
b'04108',b'000036',1.25
b'04109',b'000032',1.25
b'04110',b'000037',1.25
b'04111',b'000024',1.25
b'04112',b'000031',1.25
b'04113',b'000037',1.25
b'04123',b'000028',1.5
b'04124',b'000035',1.5
b'04125',b'000032',1.5
b'04126',b'000026',1.5
b'04127',b'000031',1.5
b'04128',b'000029',1.5
b'04129',b'000031',1.5
b'04130',b'000025',1.5
b'04131',b'000022',1.5
b'04132',b'000029',1.5
b'04141',b'000037',1.75
b'04142',b'000022',1.75
b'04143',b'000027',1.75
b'04144',b'000025',1.75
b'04145',b'000034',1.75
b'04146',b'000031',1.75
b'04147',b'000036',1.75
b'04148',b'000037',1.75
b'04149',b'000030',1.75
b'04150',b'000024',1.75
b'04156',b'000027',2.0
b'04157',b'000028',2.0
b'04158',b'000026',2.0
b'04159',b'000034',2.0
b'04160',b'000037',2.0
b'04161',b'000024',2.0
b'04162',b'000036',2.0
b'04163',b'000040',2.0
b'04164',b'000027',2.0
b'04165',b'000026',2.0
b'04171',b'000043',2.25
b'04172',b'000038',2.25
b'04173',b'000052',2.25
b'04174',b'000037',2.25
b'04175',b'000034',2.25
b'04176',b'000030',2.25
b'04177',b'000024',2.25
b'04178',b'000043',2.25
b'04179',b'000032',2.25
b'04180',b'000028',2.25
b'04218',b'000023',2.5
b'04219',b'000026',2.5
b'04220',b'000025',2.5
b'04221',b'000038',2.5
b'04222',b'000027',2.5
b'04223',b'000038',2.5
b'04224',b'000022',2.5
b'04225',b'000028',2.5
b'04226',b'000028',2.5
b'04227',b'000027',2.5
b'04228',b'000034',2.75
b'04229',b'000037',2.75
b'04230',b'000038',2.75
